,base.py,chemkin.py,model.py,model.py,poll.py,~,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,1066,77,0,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,removeSpeciesFromEdge,poll,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'isCyclic' of 'rmgpy.molecule.graph.Graph' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.species.Species' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,,,,
77,1232.175545,1262.39164,1777.087785,878.969503,0.0,0.0,6045.948128,15293.62366,1326.207394,252.679077,3876.227098,729.78509,4417.218047,0.0,2647.386675,1481.662531
78,1232.642274,1262.769702,1777.815055,883.529644,0.0,0.0,6046.703074,15297.43911,1326.459262,252.808812,3877.192153,730.304107,4418.330237,0.0,2647.747819,1482.020893
79,1241.959246,1264.399299,1787.63121,887.982494,0.0,0.0,6092.906508,15428.348675,1335.293206,253.904456,3919.368184,735.224806,4449.374647,0.0,2663.041484,1492.889662
80,1258.925728,1269.628944,1804.13617,893.621368,0.0,0.0,6148.964599,15545.209773,1346.729008,255.42849,3956.344763,740.158397,4499.448348,0.0,2682.296544,1509.355406
81,1286.562911,1275.985365,1822.554638,896.871717,0.0,0.0,6236.58058,15760.42858,1385.253722,257.132231,3987.031675,752.216913,4598.845114,0.0,2731.79787,1542.709453
82,1286.583471,1276.0378,1822.62819,901.526982,0.0,0.0,6236.674256,15760.486612,1385.317228,257.160211,3987.035306,752.228132,4598.982785,0.0,2731.851438,1542.736216
83,1293.58333,1282.789676,1833.702291,901.526982,0.0,0.0,6244.622194,15829.080784,1390.705801,258.59929,3998.11187,756.609213,4612.940843,0.0,2735.677022,1547.667676
84,1296.907033,1283.347811,1838.153794,918.809967,0.0,0.0,6253.479954,15877.482775,1393.308739,259.194783,4017.566606,759.693126,4624.120631,0.0,2741.26357,1551.633596
85,1304.53245,1284.434511,1845.973537,936.022091,0.0,0.0,6294.874321,15982.557954,1400.121345,260.109139,4059.483152,762.964335,4652.341679,0.0,2754.522136,1560.886138
86,1307.05497,1284.796811,1849.526396,945.985521,0.0,0.0,6301.881516,16024.56922,1402.543697,260.566044,4079.508977,764.951114,4661.868751,0.0,2758.95086,1564.042895
87,1312.080282,1285.350418,1854.759975,946.9797,0.0,0.0,6314.243588,16092.193183,1406.405142,261.290397,4101.765653,767.27733,4677.995995,0.0,2766.726283,1569.841031
88,1315.422199,1285.78517,1858.823494,949.714102,0.0,0.0,6323.002873,16140.707614,1408.924113,261.88779,4123.466085,769.547865,4689.135759,0.0,2772.259555,1573.832648
89,1318.74675,1286.195624,1862.806414,950.541873,0.0,0.0,6331.849943,16191.550774,1411.475679,262.487409,4145.311195,771.807986,4700.442849,0.0,2777.84599,1577.906348
90,1322.22324,1286.600268,1866.794657,951.943315,0.0,0.0,6341.024885,16242.035405,1414.449758,263.057255,4167.245694,774.139149,4712.578796,0.0,2783.706707,1582.147291
91,1325.709096,1287.110412,1870.73696,952.765501,0.0,0.0,6350.178837,16290.840791,1417.120036,263.633674,4188.89777,776.523661,4725.446073,0.0,2789.484921,1586.323764
92,1329.054987,1287.604741,1874.262779,953.639507,0.0,0.0,6359.055781,16337.383322,1419.721929,264.194952,4210.182346,778.838457,4736.771407,0.0,2795.093791,1590.38756
93,1335.284257,1291.925516,1881.315686,954.589232,0.0,0.0,6366.714443,16370.901492,1423.315015,265.337151,4218.451178,780.969323,4750.626788,0.0,2798.71591,1594.674172
94,1338.678421,1292.40247,1885.101924,955.699224,0.0,0.0,6375.60176,16417.877326,1425.875531,265.912408,4239.965662,783.103569,4762.617157,0.0,2804.349068,1598.737148
95,1338.678421,1292.413874,1885.101924,956.793842,0.0,0.0,6375.606666,16417.877326,1425.875531,265.912408,4239.965822,783.103569,4762.628892,0.0,2804.349068,1598.737148
96,1341.15835,1292.785945,1888.404956,971.17231,0.0,0.0,6382.439925,16456.493363,1428.287929,266.361293,4260.234912,785.172574,4771.706108,0.0,2808.691038,1601.8482
97,1358.385747,1297.423651,1907.566045,972.294471,0.0,0.0,6439.44433,16587.793795,1439.793626,270.721184,4307.987836,790.31541,4820.261126,0.0,2828.235349,1618.565523
98,1500.658897,1339.621762,2160.527818,972.294471,0.0,0.0,7129.604722,19040.052128,1655.989585,324.499043,5197.169343,1062.783073,5324.192853,0.0,3140.705864,1793.389013
99,1526.918788,1354.200108,2192.176282,975.012135,0.0,0.0,7205.176327,19321.110967,1669.973206,332.845704,5307.355629,1076.521,5394.066991,0.0,3169.739732,1818.108271
100,1555.999063,1373.176958,2227.886295,975.053672,0.0,0.0,7315.158877,19616.799749,1685.704238,342.253092,5432.077176,1097.782422,5475.541052,0.0,3203.561584,1846.64446
101,1559.971397,1374.296869,2232.42422,1000.293379,0.0,0.0,7325.962448,19662.591195,1689.436338,343.028791,5448.30323,1102.335165,5491.212819,0.0,3210.183848,1851.397145
102,1560.018231,1374.386877,2232.828717,1063.18335,0.0,0.0,7326.113295,19664.34955,1689.692185,343.064699,5448.315663,1102.544001,5491.511183,0.0,3210.258199,1851.460354
103,1572.066925,1379.161124,2244.062967,1079.244027,0.0,0.0,7347.629312,19718.455372,1694.813061,345.767484,5472.513184,1105.548371,5523.837992,0.0,3222.559025,1862.109669
104,1572.082877,1379.22965,2244.416198,1081.087522,0.0,0.0,7347.676747,19719.157587,1695.02697,345.797647,5472.517509,1105.788343,5523.948063,0.0,3222.583258,1862.131394
105,1575.054532,1380.600564,2247.109775,1081.51539,0.0,0.0,7354.05921,19733.585506,1696.239541,346.182857,5477.984649,1106.860068,5533.522704,0.0,3226.175996,1864.93861
106,1578.994652,1381.110546,2254.873345,1098.458624,0.0,0.0,7370.494262,19856.652286,1700.741003,347.16591,5549.204598,1111.251316,5554.037876,0.0,3237.561566,1870.804822
107,1583.312107,1381.767911,2262.669754,1098.876044,0.0,0.0,7387.213499,19983.693773,1705.274958,348.190453,5621.659563,1116.241957,5571.978416,0.0,3249.109316,1876.95739
108,1583.407223,1381.943999,2263.486384,1101.417356,0.0,0.0,7387.58622,19988.544634,1706.142325,348.244926,5621.710262,1116.863315,5572.670154,0.0,3249.263429,1877.095658
109,1587.418489,1382.487935,2270.98691,1102.969669,0.0,0.0,7403.917871,20110.776657,1710.699652,349.244451,5693.167793,1121.864068,5592.508142,0.0,3260.51877,1882.976506
