Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
4.972379160293897e-06,0.11269900927648996,0.0,0.0,0.0,0.0,0.99163251124889507,0.00066719006715605558,3.4817941816716652e-05,0.00070044958776967767,9.547789890409914e-05,0.0036197906799242553,0.0032461651525862263,4.8295705718140478e-09,2.3151766234773385e-08,3.0704463416069912e-06,4.9544582941088161e-12,2.5556983992708879e-12,1.0279403032430249e-14,1.9602990687448927e-10,3.1951033029232444e-12,4.9878852401502496e-07
5.043343789482833e-06,0.11270826783996508,0.0,0.0,0.0,0.0,0.9914616216638279,0.00066727361823934613,3.4959217181530513e-05,0.00071527251266578946,9.5669712513603709e-05,0.0037010993907063165,0.0033203463603325742,4.9388309284411407e-09,2.3751384239231862e-08,3.2086657530476427e-06,5.1779962974474485e-12,2.6816226521546875e-12,1.0785889397208686e-14,2.0980543418106408e-10,3.3749137286277164e-12,5.1994751413701994e-07
5.114308418671769e-06,0.11271754031834309,0.0,0.0,0.0,0.0,0.99129050467122348,0.00066733319304200782,3.5096526703552501e-05,0.00073010983422825413,9.5849011894291538e-05,0.003782530787191925,0.0033946545982456574,5.0481062070122465e-09,2.4352852640680414e-08,3.3501663024878936e-06,5.4066745013469887e-12,2.8108950740171092e-12,1.1305842606104036e-14,2.2424820642946709e-10,3.5609849575987207e-12,5.4157417143460449e-07
5.185273047860705e-06,0.11272682577968318,0.0,0.0,0.0,0.0,0.99111917781496994,0.00066737110461754406,3.523010376017237e-05,0.00074496014967947522,9.6016561383162203e-05,0.0038640749284195963,0.0034690803574275878,5.1573891619581947e-09,2.4956110438928629e-08,3.4949462956865428e-06,5.6404862211949261e-12,2.94352357069128e-12,1.1839294457604465e-14,2.3937538037718443e-10,3.7534007768167287e-12,5.6366822267144791e-07
5.256237677049641e-06,0.11273612334749587,0.0,0.0,0.0,0.0,0.99094765758113301,0.00066738947496570718,3.5360168410009578e-05,0.00075982215938879389,9.6173080521724043e-05,0.0039457224937857818,0.0035436147128144763,5.2666734090597943e-09,2.5561103031176635e-08,3.6430037100224657e-06,5.8794246018175022e-12,3.0795159717399599e-12,1.2386276443409706e-14,2.5520413162797437e-10,3.9522448369664916e-12,5.8622936622395171e-07
5.327202306238577e-06,0.11274543219756472,0.0,0.0,0.0,0.0,0.99077595945925512,0.00066739024927002532,3.548692807535692e-05,0.00077469465984139,9.6319246424372495e-05,0.0040274647458692341,0.0036182492887556683,5.3759536340952654e-09,2.6167781689730564e-08,3.7943362334008565e-06,6.1234825105027537e-12,3.218880118858437e-12,1.2946820103971988e-14,2.717516543984801e-10,4.1576007003449056e-12,6.0925727544519867e-07
5.398166935427513e-06,0.11275475155493592,0.0,0.0,0.0,0.0,0.9906040980004166,0.00066737520919105196,3.5610578200829493e-05,0.00078957653703164848,9.6455696058711914e-05,0.0041092934952850204,0.0036929762264342504,5.4852247591479141e-09,2.6776103069300306e-08,3.9489412997367251e-06,6.3726533098934265e-12,3.3616238792901712e-12,1.3520957082565928e-14,2.8903516150053165e-10,4.369551892320418e-12,6.3275160174973394e-07
5.469131564616449e-06,0.11276408069106614,0.0,0.0,0.0,0.0,0.99043208687219197,0.00066734598526323554,3.5731302887314433e-05,0.000804466760262378,9.6583028435059571e-05,0.0041912010674840187,0.0037677881530573886,5.594482232143692e-09,2.7386028741760821e-08,4.1068161212631297e-06,6.6269303245567678e-12,3.5077551294294892e-12,1.410871905926663e-14,3.0707188448162341e-10,4.5881819480164858e-12,6.5671197728864832e-07
5.540096193805385e-06,0.11277341892112223,0.0,0.0,0.0,0.0,0.99025993891062636,0.00066730406844534116,3.5849275500588964e-05,0.00081936437633103735,9.6701806703875082e-05,0.0042731802714156717,0.0038426781527436732,5.7037225236355265e-09,2.7997524770617758e-08,4.267957717881178e-06,6.8863064808239836e-12,3.657281823431444e-12,1.471013802683662e-14,3.2587907386302415e-10,4.8135744455397373e-12,6.8113801731384474e-07
5.611060822994321e-06,0.1127827656014316,0.0,0.0,0.0,0.0,0.99008766616935495,0.00066725082087392567,3.5964659254355435e-05,0.00083426850408409824,9.6812560160855574e-05,0.0043552243699721644,0.0039176397390340394,5.8129421387866836e-09,2.8610561317416438e-08,4.432362943777938e-06,7.1507753287506785e-12,3.8102120263433047e-12,1.5325246424143413e-14,3.4547399951095607e-10,5.045813040763024e-12,7.0602932238564527e-07
5.682025452183257e-06,0.11279212012706938,0.0,0.0,0.0,0.0,0.9899152799660027,0.00066718748586407865,3.6077607767704769e-05,0.00084917832932080123,9.69157861599631e-05,0.004437327052128545,0.0039926668289528705,5.9221377699983272e-09,2.922511226972011e-08,4.600028511532111e-06,7.4203305355605192e-12,3.9665538734328721e-12,1.5954076972511424e-14,3.658739511251772e-10,5.284981504212679e-12,7.3138548025203672e-07
5.752990081372193e-06,0.11280148192957849,0.0,0.0,0.0,0.0,0.98974279092598405,0.00066711519720292188,3.6188265597177775e-05,0.00086409310002782112,9.7011951935611145e-05,0.0045194824066973564,0.0040677537185465368,6.0313071539088121e-09,2.9841154898631328e-08,4.7709510138917518e-06,7.6949651688763003e-12,4.126315604612387e-12,1.6596662814042091e-14,3.8709623876701821e-10,5.5311637448165597e-12,7.5720606745632377e-07
5.823954710561129e-06,0.1128108504748209,0.0,0.0,0.0,0.0,0.9895702090238282,0.00066703498778169774,3.6296768743817687e-05,0.00087901212192679167,9.7101496335879952e-05,0.0046016848976198534,0.0041428950598277909,6.1404479620633791e-09,3.0458669547315135e-08,4.9451269434035175e-06,7.9746729957799189e-12,4.2895056174002832e-12,1.725303772484137e-14,4.0915819344655996e-10,5.7844438301867946e-12,7.8349065089478936e-07
5.894919339750065e-06,0.11282022526094779,0.0,0.0,0.0,0.0,0.98939754362215282,0.00066694779760524334,3.6403245135724664e-05,0.00089393475431714367,9.7184831468668219e-05,0.0046839293407127912,0.0042180858390560919,6.2495576896288427e-09,3.107763933915046e-08,5.1225527100794081e-06,8.2594481146306396e-12,4.456132425296441e-12,1.7923235947570729e-14,4.3207716779637123e-10,6.0449060138327783e-12,8.1023878912138234e-07
5.965883968939001e-06,0.11282960581648205,0.0,0.0,0.0,0.0,0.98922480350840158,0.00066685448121817786,3.650781508667652e-05,0.00090886040619725579,9.7262344263271961e-05,0.0047662108817944958,0.0042933213562857614,6.3586349390294165e-09,3.1698049906052121e-08,5.303224657257987e-06,8.5492837555576899e-12,4.6262046520802268e-12,1.8607292168285479e-14,4.5587053675858335e-10,6.312634753561819e-12,8.374500333885349e-07
6.0368485981279365e-06,0.11283899169851487,0.0,0.0,0.0,0.0,0.98905199692946677,0.00066675581458911187,3.6610591731553158e-05,0.00092378853264757897,9.7334397950329292e-05,0.0048485249761202184,0.0043685972061160315,6.4676782656796449e-09,3.2319889143407127e-08,5.4871390757997735e-06,8.8441738547213168e-12,4.7997310922513424e-12,1.9305241759789702e-14,4.8055569827168047e-10,6.5877147209313707e-12,8.6512392872798613e-07
6.1007167643979786e-06,0.11284744320221624,0.0,0.0,0.0,0.0,0.98889642058710636,0.00066666302327177845,3.6701645484093333e-05,0.00093722554628177608,9.7394860960100681e-05,0.0049226319717711161,0.0044363765372086124,6.5657865536642112e-09,3.2880757601046837e-08,5.6554312677587587e-06,9.1138920031934931e-12,4.9588656298153053e-12,1.9945304943795963e-14,5.0354922477943947e-10,6.8416421581806995e-12,8.9042562088326548e-07
6.1645849306680206e-06,0.1128558983970925,0.0,0.0,0.0,0.0,0.98874080199277092,0.00066656693609367388,3.6791406015546508e-05,0.00095066381842243651,9.7451412487176861e-05,0.0049967589731172669,0.0045041823601152577,6.6638650251429357e-09,3.3442769051430007e-08,5.8263440721733328e-06,9.3876951405389522e-12,5.1208119115442055e-12,2.0596677389842757e-14,5.2729193182431051e-10,7.1016549208274988e-12,9.1610134882022374e-07
6.228453096938063e-06,0.11286435701349906,0.0,0.0,0.0,0.0,0.98858514616064364,0.00066646797972878152,3.6879942477432412e-05,0.00096410303469845863,9.7504273486109634e-05,0.005070903235777172,0.0045720120057252791,6.7619134865398029e-09,3.4005918498989545e-08,5.9998747232142721e-06,9.6655785257743897e-12,5.2855766481502192e-12,2.1259386089330188e-14,5.5179655325979713e-10,7.3678152402345481e-12,9.4215077104367439e-07
6.292321263208105e-06,0.11287281879583569,0.0,0.0,0.0,0.0,0.98842945782512948,0.0006663665436025002,3.6967320267309946e-05,0.00097754290334715736,9.7553652596333966e-05,0.0051450621741387171,0.0046398629566559548,6.8599303760144134e-09,3.4570201929792347e-08,6.1760204477183957e-06,9.9475387974570105e-12,5.4531666320001059e-12,2.1933458362361932e-14,5.7707583978735142e-10,7.6401855053595482e-12,9.6857354387471291e-07
6.356189429478147e-06,0.11288128350320445,0.0,0.0,0.0,0.0,0.9882737414564281,0.00066626298275637751,3.7053601229896658e-05,0.00099098315366469747,9.7599746821597713e-05,0.005219233352197282,0.0047077328386381113,6.9579150102005096e-09,3.5135616228772688e-08,6.3547784699550536e-06,1.0233571391727161e-11,5.6235887496227091e-12,2.2618921907549819e-14,6.0314255950685723e-10,7.9188282861502928e-12,9.9536932156902066e-07
6.413670779121184e-06,0.11288890405176374,0.0,0.0,0.0,0.0,0.98813357624969034,0.0006661682291934565,3.7130364715502562e-05,0.0010030794973642139,9.7638577005611357e-05,0.0052859959777028119,0.0047688300649765362,7.0460736360407417e-09,3.5645454070064268e-08,6.5178919117817478e-06,1.0494478866261401e-11,5.7793958907601699e-12,2.3245601807063658e-14,6.2728642981195624e-10,8.175021648196746e-12,1.019804153451475e-06
6.471152128764222e-06,0.11289652662777888,0.0,0.0,0.0,0.0,0.98799339467152403,0.00066607223221303404,3.7206327612208957e-05,0.0010151757762341339,9.7675025646355308e-05,0.0053527650756777685,0.00482993926580505,7.1342056039866042e-09,3.6156204775022814e-08,6.6831170491520762e-06,1.0758678487470296e-11,5.9375078737141035e-12,2.3881552130374486e-14,6.5208781091777719e-10,8.4363924377006308e-12,1.0445405834042957e-06
6.5286334784072595e-06,0.11290415108023841,0.0,0.0,0.0,0.0,0.98785319948638228,0.0006659751888841881,3.728152834154537e-05,0.0010272718313838853,9.7709214562852304e-05,0.0054195391491351661,0.0048910589774999449,7.2223101560615825e-09,3.6667867658117364e-08,6.8504518686862773e-06,1.1026167434263893e-11,6.0979298634212922e-12,2.4526793651687161e-14,6.7755604837796362e-10,8.7029866296415438e-12,1.0695783561812538e-06
6.586114828050297e-06,0.1129117772681371,0.0,0.0,0.0,0.0,0.98771299331910101,0.00066587727965180881,3.7356003424819015e-05,0.0010393675144790022,9.7741259430378979e-05,0.0054863167795190524,0.0049521878117264719,7.3103873170337929e-09,3.7180442305612903e-08,7.01989436414758e-06,1.1296942461607317e-11,6.2606671767125815e-12,2.5181347756031727e-14,7.0370050034353557e-10,8.9748503396786108e-12,1.0949172156653149e-06
6.643596177693335e-06,0.11291940505566127,0.0,0.0,0.0,0.0,0.98757277866158177,0.00066577866945656278,3.7429787579672001e-05,0.0010514626871181217,9.7771270058821994e-05,0.0055530966228160483,0.0050133244517745071,7.3984370359865561e-09,3.7693928620299257e-08,7.1914425384546291e-06,1.157100059807916e-11,6.4257250925559221e-12,2.5845235676205078e-14,7.3053053735919414e-10,9.2520297745271225e-12,1.1205569050695115e-06
6.7010775273363725e-06,0.11292703431494397,0.0,0.0,0.0,0.0,0.98743255788001449,0.0006656795089461326,3.7502913815778318e-05,0.0010635572201543877,9.7799350716746013e-05,0.0056198774053539558,0.0050744676485834578,7.4864584781803789e-09,3.8208326830776656e-08,7.3650944045633087e-06,1.184833924135081e-11,6.5931089467067837e-12,2.6518478873518324e-14,7.580555430169485e-10,9.5345712747486613e-12,1.1464971670158935e-06
6.75855887697941e-06,0.11293466492347329,0.0,0.0,0.0,0.0,0.98729233321972565,0.00066557993525253505,3.7575413504378408e-05,0.0010756509932547938,9.7825600334626567e-05,0.0056866579209922975,0.0051356162180902394,7.5744514519319263e-09,3.8723637514638819e-08,7.5408479867248587e-06,1.2128955271960811e-11,6.7628242152204444e-12,2.7201099373429222e-14,7.8628491386529201e-10,9.82252129742076e-12,1.1727377435126195e-06
6.816040226622448e-06,0.11294229676598308,0.0,0.0,0.0,0.0,0.98715210681345134,0.00066548007332689466,3.7647316476815309e-05,0.001087743894144308,9.7850112883296738e-05,0.0057534370263372814,0.0051967690366848803,7.6624160401321725e-09,3.9239861366240335e-08,7.7187013221077805e-06,1.2412845698002527e-11,6.9348763453838729e-12,2.7893119085746857e-14,8.1522805967919085e-10,1.0115926415314026e-11,1.1992783760516008e-06
6.873521576265485e-06,0.1129499297323747,0.0,0.0,0.0,0.0,0.98701188068627499,0.00066538003671387481,3.7718651094567144e-05,0.0010998358181610855,9.7872977591741567e-05,0.0058202136378907579,0.0052579250385078975,7.7503518487191857e-09,3.9756999294467913e-08,7.8986524610080846e-06,1.270000774524302e-11,7.1092708143030459e-12,2.859456004025414e-14,8.4489440376973835e-10,1.0414833314445025e-11,1.2261188056591993e-06
6.931002925908523e-06,0.11295756371725094,0.0,0.0,0.0,0.0,0.98687165675921928,0.00066527992809350533,3.7789444310990032e-05,0.0011119266679439361,9.789427908361392e-05,0.0058869867299783524,0.005319083213499937,7.8382583932130229e-09,4.0275052576102708e-08,8.0806994678149544e-06,1.2990438589066144e-11,7.2860132062363447e-12,2.9305444697665786e-14,8.7529338300374349e-10,1.0719288803994503e-11,1.2532587729533575e-06
