,base.py,chemkin.py,model.py,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getLabeledAtoms' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getSymmetryNumber' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,
75,1905.486101,1333.743093,1885.144106,0.0,9355.734056,26780.430358,2212.248323,10807.324424,7056.70895,9797.384759,0.0,4320.401878,2254.050995
76,1905.486101,1333.748215,1885.144106,0.0,9355.734736,26780.430358,2212.249422,10807.324424,7056.709044,9797.393977,0.0,4320.401878,2254.050995
77,1931.051162,1337.660073,1902.648784,0.0,9457.278058,27163.130497,2239.854889,10932.009342,7173.460022,9925.854638,0.0,4363.5624,2283.257796
78,1932.927214,1338.485842,1904.620231,0.0,9460.134315,27181.932984,2241.658241,10939.738871,7178.765779,9935.879163,0.0,4365.281675,2284.994231
79,1932.927214,1338.491399,1904.620231,0.0,9460.135001,27181.932984,2241.659382,10939.738871,7178.765868,9935.888224,0.0,4365.281675,2284.994231
80,1932.927214,1338.496302,1904.620231,0.0,9460.135695,27181.932984,2241.660518,10939.738871,7178.765968,9935.897321,0.0,4365.281675,2284.994231
81,1932.927214,1338.501191,1904.620231,0.0,9460.136442,27181.932984,2241.661715,10939.738871,7178.766093,9935.906728,0.0,4365.281675,2284.994231
82,1932.927214,1338.506012,1904.620231,0.0,9460.137133,27181.932984,2241.662871,10939.738871,7178.76621,9935.915753,0.0,4365.281675,2284.994231
83,1932.927214,1338.510892,1904.620231,0.0,9460.13783,27181.932984,2241.664009,10939.738871,7178.766312,9935.924768,0.0,4365.281675,2284.994231
84,1932.927214,1338.515759,1904.620231,0.0,9460.138523,27181.932984,2241.665151,10939.738871,7178.766412,9935.933709,0.0,4365.281675,2284.994231
85,1932.927214,1338.520601,1904.620231,0.0,9460.144624,27181.932984,2241.66632,10939.738871,7178.766516,9935.942931,0.0,4365.281675,2284.994231
86,1933.139379,1338.545756,1904.657622,0.0,9460.550441,27183.124733,2241.838946,10939.99908,7178.849591,9936.644576,0.0,4365.539584,2285.174705
87,1933.139379,1338.550774,1904.657622,0.0,9460.551109,27183.124733,2241.84018,10939.99908,7178.849694,9936.654071,0.0,4365.539584,2285.174705
88,1933.139379,1338.555663,1904.657622,0.0,9460.5518,27183.124733,2241.841411,10939.99908,7178.849797,9936.663453,0.0,4365.539584,2285.174705
89,1933.139379,1338.560497,1904.657622,0.0,9460.55255,27183.124733,2241.842646,10939.99908,7178.849914,9936.67296,0.0,4365.539584,2285.174705
90,1933.139379,1338.565319,1904.657622,0.0,9460.553205,27183.124733,2241.843852,10939.99908,7178.850035,9936.682156,0.0,4365.539584,2285.174705
91,1933.445541,1338.618034,1904.746306,0.0,9461.224673,27184.682146,2242.103256,10940.102436,7179.151887,9937.698931,0.0,4365.988491,2285.464619
92,1933.445541,1338.627034,1904.746306,0.0,9461.225627,27184.682146,2242.104887,10940.102436,7179.152069,9937.712488,0.0,4365.988491,2285.464619
93,1937.319379,1339.243554,1908.565957,0.0,9471.900343,27241.50049,2246.678719,10968.719036,7205.066692,9958.546663,0.0,4373.866623,2290.312365
94,1941.140676,1339.869896,1912.298861,0.0,9482.568466,27297.86233,2251.187244,10996.525204,7230.970396,9979.142794,0.0,4381.718356,2295.162318
95,1944.982765,1340.499178,1915.945503,0.0,9493.215338,27353.894031,2255.68928,11023.94753,7257.005676,9999.755162,0.0,4389.553578,2300.007085
96,1954.100813,1341.7667,1924.15843,0.0,9537.923802,27509.411447,2267.212556,11096.090299,7321.367323,10051.424725,0.0,4412.839219,2312.326354
97,1959.115659,1342.536783,1928.426801,0.0,9552.168624,27588.119664,2272.895584,11124.995363,7349.375157,10076.798381,0.0,4423.280038,2318.422793
98,1963.045956,1343.34251,1932.051151,0.0,9562.894927,27644.596438,2277.536341,11152.01061,7375.744733,10098.975202,0.0,4431.116674,2323.349515
99,1966.816293,1343.992929,1935.499214,0.0,9573.543108,27699.419546,2282.119533,11179.276471,7401.948579,10120.447285,0.0,4438.909094,2328.194144
100,1970.708528,1344.676607,1938.950414,0.0,9584.214908,27753.899387,2286.702333,11206.388114,7428.006266,10141.946877,0.0,4446.701243,2333.032573
101,1978.440036,1349.848479,1943.398976,0.0,9597.616629,27796.600653,2295.52107,11258.484961,7441.326545,10182.847705,0.0,4455.244838,2339.604487
102,1981.473096,1350.708315,1945.327871,0.0,9608.099458,27807.237365,2299.278834,11278.541344,7451.13188,10199.1119,0.0,4462.997327,2343.306554
103,1984.489635,1351.557533,1947.239859,0.0,9618.585266,27817.825662,2302.984599,11298.945563,7460.939064,10215.055657,0.0,4470.741919,2347.007061
104,1985.814758,1351.986624,1948.360658,0.0,9623.392232,27823.54729,2304.725673,11308.227124,7468.076195,10222.464952,0.0,4474.291905,2348.683556
105,1987.164285,1352.377223,1949.476002,0.0,9628.250434,27829.308141,2306.475855,11317.679879,7475.229063,10229.863277,0.0,4477.872069,2350.369747
106,1988.843541,1352.814733,1950.675105,0.0,9634.342515,27835.191848,2308.702342,11330.688286,7479.886261,10239.39086,0.0,4482.31939,2352.498838
107,1988.843541,1352.819925,1950.675105,0.0,9634.343074,27835.191848,2308.703367,11330.688286,7479.886306,10239.399178,0.0,4482.31939,2352.498838
108,2032.704083,1378.905916,1979.521433,0.0,9829.71886,28325.792049,2353.371336,11445.324143,7561.908937,10423.164739,0.0,4568.078141,2397.986377
109,2038.670175,1380.428146,1985.645958,0.0,9846.2426,28427.509018,2360.53954,11487.720528,7607.70946,10456.239591,0.0,4580.157741,2405.402012
110,2082.478462,1391.040959,2019.649069,0.0,10010.637157,29129.609656,2407.860761,11710.849167,7775.940353,10672.146086,0.0,4655.182623,2456.356936
111,2086.369134,1391.975631,2023.532199,0.0,10021.427942,29187.378003,2412.47642,11739.07319,7801.998294,10694.163858,0.0,4663.076954,2461.257443
112,2090.24403,1392.713159,2027.185478,0.0,10032.230633,29243.791752,2417.025481,11766.912883,7828.30357,10715.056846,0.0,4670.93384,2466.107578
113,2094.147137,1393.37916,2030.727281,0.0,10042.987211,29299.805262,2421.544607,11793.776212,7854.786122,10735.698201,0.0,4678.77332,2470.971405
114,2097.96842,1394.05292,2034.336048,0.0,10053.753451,29355.982168,2426.069486,11820.942788,7881.159806,10756.33274,0.0,4686.617387,2475.827521
115,2101.784444,1394.727863,2037.828912,0.0,10064.532937,29411.889267,2430.583204,11847.604519,7907.637857,10776.987651,0.0,4694.457297,2480.696063
116,2105.732017,1395.415176,2041.314655,0.0,10075.330756,29467.423117,2435.183727,11874.935285,7934.015014,10798.456597,0.0,4702.296249,2485.545185
117,2109.573223,1396.122043,2044.755707,0.0,10086.164796,29522.556269,2439.769177,11902.124212,7960.236143,10819.941239,0.0,4710.124909,2490.394275
118,2144.566506,1408.908911,2077.730689,0.0,10165.332919,29891.801842,2476.994198,12110.351505,8065.1945,11006.963085,0.0,4752.796134,2524.733913
119,2374.645383,1467.200783,2405.433366,0.0,11422.461552,34515.377089,2771.984829,14212.558967,9920.744759,12336.045387,0.0,5320.091631,2827.350945
120,2407.521472,1488.871346,2438.680608,0.0,11483.118231,34911.998536,2806.988929,14435.530438,10063.218281,12505.139141,0.0,5359.951925,2858.84512
121,2458.743703,1509.470031,2487.940263,0.0,11664.578416,35701.850904,2864.709326,14835.969966,10376.918874,12776.802543,0.0,5449.978971,2914.24777
122,2482.399039,1521.617767,2508.191016,0.0,11760.613086,35976.636841,2891.373456,14998.797267,10520.14114,12900.996843,0.0,5493.063938,2939.654765
123,2497.689556,1524.79926,2521.306077,0.0,11800.457965,36270.048436,2908.387366,15096.235501,10615.574295,12977.489749,0.0,5521.866584,2958.176677
124,2512.437064,1527.479033,2533.992117,0.0,11873.819615,36519.944523,2924.846165,15192.262913,10709.613482,13051.862971,0.0,5549.526395,2975.998399
125,2527.203457,1530.133888,2546.542932,0.0,11948.273609,36770.751044,2941.488435,15287.811532,10805.849065,13128.368249,0.0,5577.098032,2993.86294
126,2559.359348,1533.905922,2577.096824,0.0,12110.546695,37616.180533,2981.339394,15622.296599,11113.04307,13308.763094,0.0,5657.413177,3037.099379
127,2604.621106,1539.156824,2637.706762,0.0,12359.197944,38819.591272,3038.153421,16104.24684,11496.872921,13564.323454,0.0,5773.853326,3098.855191
128,2619.490372,1541.999311,2650.04409,0.0,12434.818389,39067.474371,3055.075866,16199.663917,11591.329262,13641.783078,0.0,5801.455136,3116.769876
129,2657.145467,1546.392866,2684.399316,0.0,12619.704557,40068.699589,3101.786497,16598.928979,11929.385564,13853.020426,0.0,5896.535911,3167.204421
130,2681.903547,1548.817287,2707.705398,0.0,12772.731389,40804.412914,3134.480512,16924.216326,12179.591494,13999.428206,0.0,5968.435127,3201.919258
131,2716.875485,1560.176483,2739.564154,0.0,12941.125382,41636.312038,3176.669848,17252.854995,12449.144827,14194.393638,0.0,6049.390371,3245.151093
132,2750.286754,1571.392949,2772.302462,0.0,13125.346455,42389.986315,3218.278053,17634.279571,12718.777415,14384.901936,0.0,6127.19454,3287.076462
133,2782.59382,1583.831517,2801.442081,0.0,13306.906814,43134.947675,3257.241713,17947.362041,12984.419035,14565.910981,0.0,6202.026573,3327.248095
134,2800.712857,1593.869561,2817.9798,0.0,13391.983518,43403.689822,3276.957863,18039.414484,13107.190554,14660.048296,0.0,6234.100793,3346.678413
135,2846.767919,1606.570395,2862.318629,0.0,13673.431293,44627.374702,3336.628429,18644.872945,13513.255786,14934.574034,0.0,6351.90346,3407.667277
136,2866.972069,1617.620208,2879.711058,0.0,13743.585671,44923.539813,3357.848253,18744.227681,13641.171674,15032.49908,0.0,6387.001209,3428.890653
137,2874.714333,1618.615786,2886.562678,0.0,13774.675675,45164.467247,3367.498134,18794.882301,13744.410901,15075.451687,0.0,6409.862902,3439.876227
